Date,Brand,20 Days Moving NS,BW_Vol,BW_NVol
2020-05-02,Starbucks,-0.44925551205,8708,-1.9194894351722436
2020-05-01,Starbucks,-0.6165127443,7732,-1.9395502754254708
2020-04-30,Starbucks,-0.71942475575,5233,-1.9909150702951575
2020-04-29,Starbucks,-0.7404296037,5750,-1.9802885801200363
2020-04-28,Starbucks,-0.72142159995,5791,-1.979445860396284
2020-04-27,Starbucks,-0.67102716845,5807,-1.9791169941626243
2020-04-26,Starbucks,-0.75557758255,5141,-1.9928060511386994
2020-04-25,Starbucks,-0.7956044853,5982,-1.975520019731974
2020-04-24,Starbucks,-0.7266270028499999,5975,-1.9756638987092001
2020-04-23,Starbucks,-0.790994853,5433,-1.986804242374414
2020-04-22,Starbucks,-0.775509118,6499,-1.9648935295568528
2020-04-21,Starbucks,-0.6786600651500001,8407,-1.9256762311929623
2020-04-20,Starbucks,-0.57115492145,7775,-1.9386664474225108
2020-04-19,Starbucks,-0.5265549185,6057,-1.9739784592616954
2020-04-18,Starbucks,-0.44808332645000004,6274,-1.969518210967689
2020-04-17,Starbucks,-0.4345392759,9482,-1.9035805311189673
2020-04-16,Starbucks,-0.38111163695,7716,-1.9398791416591301
2020-04-15,Starbucks,-0.31825441125000004,7991,-1.9342267532681081
2020-04-14,Starbucks,-0.29572907025000006,6683,-1.961111567869769
2020-04-13,Starbucks,-0.26271012760000007,23008,-1.6255652388391022
2020-04-12,Starbucks,-0.12329985054999999,14133,-1.8079832278220833
2020-04-11,Starbucks,0.04235315745000003,5666,-1.9820151278467484
2020-04-10,Starbucks,0.20769759800000004,5041,-1.994861465099071
2020-04-09,Starbucks,0.2682062315,6133,-1.9724163446518128
2020-04-08,Starbucks,0.23676598594999998,6916,-1.956322453342103
2020-04-07,Starbucks,0.06611982190000001,6224,-1.9705459179478746
2020-04-06,Starbucks,-0.07400476379999998,6191,-1.9712242045547974
2020-04-05,Starbucks,-0.17340574455000005,6691,-1.9609471347529392
2020-04-04,Starbucks,-0.30698069595,6491,-1.9650579626736824
2020-04-03,Starbucks,-0.3724355416500001,8224,-1.9294376387404424
